,Order ID,Order Date,Segment,Postal Code,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Price,Profit Ratio,month
0,CA-2017-103800,2017-01-03,0,77095.0,OFF-PA-10000174,0,0,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.0,2,20.0,6.0,8.0,37.5,1
1,CA-2017-112326,2017-01-04,1,60540.0,OFF-LA-10003223,0,1,Avery 508,12.0,3,20.0,4.0,4.0,33.33,1
2,CA-2017-112326,2017-01-04,1,60540.0,OFF-ST-10002743,0,2,SAFCO Boltless Steel Shelving,273.0,3,20.0,-65.0,91.0,-23.81,1
3,CA-2017-112326,2017-01-04,1,60540.0,OFF-BI-10004094,0,3,GBC Standard Plastic Binding Systems Combs,4.0,2,80.0,-5.0,2.0,-125.0,1
4,CA-2017-141817,2017-01-05,0,19143.0,OFF-AR-10003478,0,4,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20.0,3,20.0,5.0,6.67,25.0,1
5,CA-2017-167199,2017-01-06,1,42420.0,OFF-AR-10001662,0,4,Rogers Handheld Barrel Pencil Sharpener,5.0,2,0.0,1.0,2.5,20.0,1
6,CA-2017-167199,2017-01-06,1,42420.0,FUR-CH-10004063,1,5,Global Deluxe High-Back Manager's Chair,2574.0,9,0.0,746.0,286.0,28.98,1
7,CA-2017-167199,2017-01-06,1,42420.0,OFF-BI-10004632,0,3,Ibico Hi-Tech Manual Binding System,610.0,2,0.0,274.0,305.0,44.92,1
8,CA-2017-106054,2017-01-06,2,30605.0,OFF-AR-10002399,0,4,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13.0,3,0.0,5.0,4.33,38.46,1
9,CA-2017-167199,2017-01-06,1,42420.0,TEC-PH-10004977,2,6,GE 30524EE4,392.0,2,0.0,114.0,196.0,29.08,1
10,CA-2017-167199,2017-01-06,1,42420.0,TEC-PH-10004539,2,6,Wireless Extenders zBoost YX545 SOHO Signal Booster,756.0,4,0.0,204.0,189.0,26.98,1
